№;Герб;Город;Регион;Федеральный округ;Население;Основание илипервое упоминание;Статус города[4];Прежние названия
245;;Дегтярск;Свердловская область;Уральский;15 497;1914;1954;
246;;Дедовск;Московская область;Центральный;30 731;1911;1940;
247;;Демидов;Смоленская область;Центральный;6326;1499;1776;
248;;Дербент;Дагестан;Северо-Кавказский;124 953;438;1840;Баб-аль-Абваб
249;;Десногорск;Смоленская область;Центральный;25 345;1974;1989;
250;;;Крым;Южный;37 014;1784;1917;
251;;Дзержинск;Нижегородская область;Приволжский;218 630;1606;1930;
252;;Дзержинский;Московская область;Центральный;57 918;1380-е;1981;Угреша
253;;Дивногорск;Красноярский край;Сибирский;27 477;1956;1963;Скит
254;;Дигора;Северная Осетия;Северо-Кавказский;9922;1852;1964;
255;;Димитровград;Ульяновская область;Приволжский;110 968;1698;1926;
256;;Дмитриев;Курская область;Центральный;6317;1779;1779;
257;;Дмитров;Московская область;Центральный;65 574;1154;1154;
258;;Дмитровск;Орловская область;Центральный;5202;1711;1782;
259;;Дно;Псковская область;Северо-Западный;7850;1897;1925;Донщина
260;;Добрянка;Пермский край;Приволжский;28 782;1623;1943;Домрянка
261;;Долгопрудный;Московская область;Центральный;120 907;1931;1957;
262;;Долинск;Сахалинская область;Дальневосточный;11 740;1884;1946;
263;;Домодедово;Московская область;Центральный;152 404;1900;1947;Никитск
264;;Донецк;Ростовская область;Южный;46 623;1681;1951;
265;;Донской;Тульская область;Центральный;63 837;1773;1939;
266;;Дорогобуж;Смоленская область;Центральный;9528;1150;;
267;;Дрезна;Московская область;Центральный;12 295;1897;1940;
268;;Дубна;Московская область;Центральный;74 183;1956;1956;Иваньково
269;;Дубовка;Волгоградская область;Южный;14 779;1732;1803;
270;;Дудинка;Красноярский край;Сибирский;19 556;1667;1951;
271;;Духовщина;Смоленская область;Центральный;3990;1675;1777;
272;;Дюртюли;Башкортостан;Приволжский;31 185;1795;1989;
273;;Дятьково;Брянская область;Центральный;25 255;1626;1938;
274;;;Крым;Южный;107 877;;1784;
275;;Егорьевск;Московская область;Центральный;71 686;1462;1778;
276;;Ейск;Краснодарский край;Южный;82 943;1848;1848;
277;;Екатеринбург;Свердловская область;Уральский;1 544 376;1723;1781;
278;;Елабуга;Татарстан;Приволжский;73 630;;1780;Трёхсвятское
279;;Елец;Липецкая область;Центральный;99 875;1146;1778;
280;;Елизово;Камчатский край;Дальневосточный;36 240;1848;1975;
281;;Ельня;Смоленская область;Центральный;8332;1150;1776;
